Name,Address,Coordinates,Type,District
Частный детский сад Семья Baby,"ул. Василия Клочкова, 28","76.901586,43.245414",садик,Бостандыкский
Детский сад № 8,"ул. Евгения Брусиловского, 19","76.875234,43.251825",садик,Бостандыкский
Детский сад Голубой,"ул. Панфилова, 52/41, этаж 2","76.943823,43.266407",садик,Бостандыкский
Санаторный ясли-сад № 21,"ул. Ади Шарипова, 71А","76.921769,43.254096",садик,Бостандыкский
Bal-balam,"ул. Манаса, 22/3к9","76.908900,43.241957",садик,Бостандыкский
Ясли-сад № 43,"ул. Байтурсынова, 4А","76.925866,43.261058",садик,Бостандыкский
Детский сад № 149 Ивушка,"просп. Сакена Сейфуллина, 516","76.934930,43.247576",садик,Бостандыкский
Адеп,"ул. Таира Жарокова, 358","76.911605,43.203175",садик,Бостандыкский
Alisha,"ул. Богенбай батыра, 220","76.916293,43.250844",садик,Бостандыкский
Goodvel,"ул. Курмангазы, 84А","76.936778,43.243785",садик,Бостандыкский
Ясли-сад № 30,"Алматы, Токмакская улица","76.942245,43.268516",садик,Бостандыкский
Senim Kids,"ул. Теренозек, 14","76.906691,43.174748",садик,Бостандыкский
Акуна Матата,"ул. Владимира Радостовца, 179А","76.892320,43.229614",садик,Бостандыкский
"Балашым, частный детский сад","ул. Александра Попова, 27","76.931031,43.224163",садик,Бостандыкский
Ясли-сад № 146,"Алматы, 11-й микрорайон, 36А","76.875373,43.220399",садик,Бостандыкский
Ясли-сад № 93,"ул. Мукагали Макатаева, 103","76.936359,43.263660",садик,Бостандыкский
Нур-Бала,"ул. Шакарима, 3","76.886665,43.243283",садик,Бостандыкский
Kinderhouse,"ул. Наурызбай батыра, 127блок5","76.937451,43.236714",садик,Бостандыкский
Ясли-сад № 200,"ул. Пирогова, 12","76.931338,43.232278",садик,Бостандыкский
Лило,"Бостандыкский район, микрорайон Нур Алатау, ул. Нурлы Байкенова, 18","76.902748,43.182369",садик,Бостандыкский
Bal-balam,"ул. Каныша Сатпаева, 133/6","76.872857,43.233923",садик,Бостандыкский
Детский сад № 3,"ул. Аносова, 48","76.886087,43.251941",садик,Бостандыкский
Fastrackids,"микрорайон Баганашыл, 4","76.912350,43.195600",садик,Бостандыкский
Ай-бала,"ул. Нургисы Тлендиева, 215, этаж 1","76.873786,43.238624",садик,Бостандыкский
Start Line,"ул. Сабита Муканова, 180","76.915784,43.248824",садик,Бостандыкский
Alma Kids,"ул. Жумалиева, 55","76.912317,43.256645",садик,Бостандыкский
Ясли-сад № 188,"ул. Владимира Радостовца, 38А","76.892673,43.247225",садик,Бостандыкский
Детский сад № 132,"ул. Карасай батыра, 205/1","76.897446,43.249321",садик,Бостандыкский
Детский сад № 74,"ул. Тургута Озала, 68","76.881452,43.252970",садик,Бостандыкский
"Мечта, частный детский сад","пер. Минина, 24А","76.924594,43.235159",садик,Бостандыкский
Nomad Kids,"Алматы, Бостандыкский район, микрорайон Нур Алатау, улица Казыбек Тауасарулы","76.897914,43.177779",садик,Бостандыкский
Tamos-kids,"микрорайон Орбита-1, 2","76.885723,43.201989",садик,Бостандыкский
Jaryq Bala,"ул. Си Синхая, 1","76.903474,43.216484",садик,Бостандыкский
My Kid,"микрорайон Ерменсай, ул. Шанкобыз, 23","76.920541,43.182579",садик,Бостандыкский
Детский развивающий центр SmART Kids,"ул. Умбетбаева, 214","76.898383,43.222653",садик,Бостандыкский
Детский сад ТОО Асыл Мура,"ул. Богенбай батыра, 314А","76.885925,43.248571",садик,Бостандыкский
Айлана-kids,"15-я ул., 12","76.913122,43.170918",садик,Бостандыкский
Magic Kingdom,"ул. Патшаим Тажибаевой, 157к2","76.890982,43.207672",садик,Бостандыкский
Wise Kids,"ул. Кольсай, 31Д","76.917709,43.192321",садик,Бостандыкский
Britannica,"ул. Жакабая Утегенова, 27А","76.894540,43.177991",садик,Бостандыкский
Детский сад № 133,"ул. Евгения Брусиловского, 15/1","76.874180,43.254245",садик,Бостандыкский
Mega Kids,"просп. Аль-Фараби, 27/2к4","76.940325,43.227714",садик,Бостандыкский
Happy Land,"Вольная ул., 14","76.928852,43.272354",садик,Бостандыкский
Ясли-сад № 67,"ул. Желтоксан, 14","76.938139,43.271450",садик,Бостандыкский
Дауир,"микрорайон Хан Тенгри, 84","76.892006,43.169044",садик,Бостандыкский
Ясли № 130,"Усть-Каменогорская ул., 1/1","76.885879,43.259676",садик,Бостандыкский
Детский сад № 4 Акку,"Памирская ул., 6","76.884784,43.262077",садик,Бостандыкский
Ай-бала,"ул. Садовникова, 61","76.876530,43.224176",садик,Бостандыкский
Samruk kids club,"ул. Атабек, 108","76.895517,43.174397",садик,Бостандыкский
Danyshpan Damu,"ул. Таира Жарокова, 137/1блокГ2","76.899444,43.235813",садик,Бостандыкский
Da Vinci kids,"Кашгарская ул., 81А","76.929006,43.239682",садик,Бостандыкский
Balafun,"микрорайон Хан Тенгри, 135","76.895090,43.157360",садик,Бостандыкский
Jado Baby Academy,"ул. Алмалы, 2","76.916260,43.194975",садик,Бостандыкский
Shalqar,"Памирская ул., 7","76.884592,43.263122",садик,Бостандыкский
City Kindergarten,"просп. Аль-Фараби, 120/50, ЖК Esentai City","76.928866,43.215799",садик,Бостандыкский
Римон,"ул. Мукагали Макатаева, 88","76.942958,43.263633",садик,Бостандыкский
Детский сад Амира,"ул. Манмангер, 15А","76.932924,43.201697",садик,Бостандыкский
Детский сад № 182,"ул. Тургута Озала, 30/1","76.881428,43.255211",садик,Бостандыкский
FasTracKids,"ул. Нахимова, 37Б","76.934407,43.225910",садик,Бостандыкский
Kemenger Bala,"ул. Лебедева, 47","76.884398,43.226502",садик,Бостандыкский
Ясли-сад № 61,"Азовская ул., 16","76.927000,43.282129",садик,Бостандыкский
Ару kids,"ул. Прокофьева, 181","76.875642,43.240729",садик,Бостандыкский
Изумрудный город,"ул. Фёдорова, 12В","76.895726,43.268412",садик,Бостандыкский
Ясли-сад № 139,"ул. Мукагали Макатаева, 99","76.937227,43.263923",садик,Бостандыкский
Академия-О,"ул. Шокана Уалиханова, 5","76.949753,43.269828",садик,Бостандыкский
Qoshaqan,"ул. Климента Тимирязева, 15А","76.931960,43.230862",садик,Бостандыкский
Danyshpan Damu,"ул. Таира Жарокова, 137/1блокГ2","76.899455,43.235808",садик,Бостандыкский
Nomad Kids,"ул. Жакабая Утегенова, 15/2","76.898073,43.177897",садик,Бостандыкский
Abay center,"микрорайон Самал-2, 58","76.951785,43.229305",садик,Бостандыкский
Megakids,"ул. Садовникова, 35","76.877669,43.222292",садик,Бостандыкский
Britannica,"просп. Сакена Сейфуллина, 617, этаж 4","76.935312,43.233704",садик,Бостандыкский
Арман,"ул. Байзакова, 34","76.911260,43.262745",садик,Бостандыкский
Madi Kids Premium,"микрорайон Горный Гигант, 112","76.951675,43.211894",садик,Бостандыкский
Тедди,"ул. Венецианова, 21","76.897125,43.270270",садик,Бостандыкский
Britannica,"ул. Бекена Жамакаева, 138","76.946583,43.217557",садик,Бостандыкский
Arai kids,"ул. Толе би, 171","76.905508,43.252342",садик,Бостандыкский
Детский сад Еркетай,"ул. Талбесик, 32","76.879091,43.285594",садик,Бостандыкский
Monte School,"ул. Алмалы, 10","76.915722,43.193806",садик,Бостандыкский
Айналайын,"ул. Хамзы Есенжанова, 15","76.883409,43.241080",садик,Бостандыкский
Elite Kids Academy,"Алматы, 6","76.932394,43.198640",садик,Бостандыкский
Mega Kids,"11-я ул., 8","76.907336,43.175192",садик,Бостандыкский
Академия детства,"ул. Венецианова, 6/6","76.896113,43.267695",садик,Бостандыкский
Жануя,"ул. Тургута Озала, 151","76.881496,43.244734",садик,Бостандыкский
Erudity,"20-я линия, 62/3","76.887558,43.232320",садик,Бостандыкский
Erke A kids,"микрорайон Ерменсай, ул. Шанкобыз, 23","76.920519,43.182729",садик,Бостандыкский
Ясли № 94,"просп. Сакена Сейфуллина, 293","76.939351,43.287833",садик,Бостандыкский
Родничок,"Алматы, микрорайон Шапагат","76.883434,43.281629",садик,Бостандыкский
Ясли-сад № 17,"ул. Жамбыла Тобаякова, 26/28","76.936849,43.275882",садик,Бостандыкский
Ясли-сад № 191,"ул. Егизбаева, 7/11","76.884722,43.230932",садик,Бостандыкский
Golden Seeds - Altyn Urpaq,"ул. Торангы, 38","76.924591,43.185197",садик,Бостандыкский
Baby Kingdom,"ул. Алишера Навои, 208/7","76.886347,43.205478",садик,Бостандыкский
Sensory Kids,"микрорайон Горный Гигант, ул. Фазыла Карибжанова, 66","76.943586,43.217983",садик,Бостандыкский
Хан,"ул. Абдуллы Розыбакиева, 9","76.888517,43.246387",садик,Бостандыкский
Smart Korkem,"Алматы, микрорайон Коктем-1","76.927052,43.228870",садик,Бостандыкский
Amanat Kids,"просп. Юрия Гагарина, 133Б","76.893608,43.236060",садик,Бостандыкский
Зейин,"Шапағат шағын ауданы, Бердіғұлов көшесі, 184/186","76.883144,43.282051",садик,Бостандыкский
АльДамиРам,"Алматы, микрорайон Шапагат","76.883978,43.282255",садик,Бостандыкский
Magic Kingdom,"ул. Патшаим Тажибаевой, 157к1","76.890210,43.207706",садик,Бостандыкский
Zere,"микрорайон Хан Тенгри, 79","76.891873,43.170051",садик,Бостандыкский
Sana Urpaq,"просп. Сакена Сейфуллина, 469/4","76.929717,43.266162",садик,Бостандыкский
Rayan kids,"Алматы, микрорайон Шапагат, улица Бердигулова, 242","76.881508,43.278430",садик,Бостандыкский
Little & Big,"ул. Гоголя, 87Б","76.942811,43.260544",садик,Бостандыкский
Одуванчик,"ул. Брюсова, 16","76.890704,43.263676",садик,Бостандыкский
Жан Бөпе,"11-й микрорайон, ул. Щепеткова, 113/3","76.873287,43.229281",садик,Бостандыкский
Мечта,"пер. Минина, 24А","76.924560,43.235127",садик,Бостандыкский
Al-farabi kids,"ул. Александра Попова, 22","76.933995,43.225969",садик,Бостандыкский
Kids Smile,"Новгородская ул., 5","76.927352,43.270871",садик,Бостандыкский
Болашак,"микрорайон Горный Гигант, ул. Василия Шукшина, 87","76.939218,43.218087",садик,Бостандыкский
Фонарик,"ул. Серке Кожамкулова, 219","76.916737,43.248610",садик,Бостандыкский
Union preschool,"ул. Таира Жарокова, 137блокВ3","76.898745,43.236924",садик,Бостандыкский
Страна детства,"ул. Байзакова, 244","76.914522,43.242571",садик,Бостандыкский
Бала land,"ул. Прокофьева, 173","76.875278,43.241551",садик,Бостандыкский
Alisha,"ул. Богенбай батыра, 220","76.916287,43.250860",садик,Бостандыкский
Kids' Discovery Academy,"микрорайон Коктем-1, Пчеловодная ул., 4","76.924741,43.233058",садик,Бостандыкский
Bala Qyran1,"ул. Ораза Исаева, 151","76.908509,43.247745",садик,Бостандыкский
Ясли-сад № 12,"ул. Курмангазы, 120","76.921417,43.242667",садик,Бостандыкский
Бала Кыран,"ул. Ораза Исаева, 151А","76.908696,43.247757",садик,Бостандыкский
Фортуна,"ул. Брюсова, 16, этаж 2","76.890677,43.263665",садик,Бостандыкский
Детский сад,"ул. Нурмакова, 150","76.907552,43.247520",садик,Бостандыкский
Детский сад № 11,"ул. Шевченко, 162К","76.905889,43.242561",садик,Бостандыкский
Pixel,"ул. Айтжана Туркебаева, 141А","76.878761,43.245334",садик,Бостандыкский
Zymyran,"ул. Сабита Муканова, 152","76.915865,43.250900",садик,Бостандыкский
Ясли-сад № 16,"просп. Сакена Сейфуллина, 587","76.933570,43.244158",садик,Бостандыкский
Toddler,"ул. Егора Редько, 19","76.879603,43.164479",садик,Бостандыкский
Arai kids,"ул. Толе би, 171","76.905635,43.252339",садик,Бостандыкский
Ай-Лау,"ул. Фаворского, 12","76.935302,43.287217",садик,Бостандыкский
Жан-ұя Kids,"ул. Кенесары хана, 52","76.873080,43.170651",садик,Бостандыкский
Керемет,"микрорайон Мамыр-4, 72","76.850695,43.217156",садик,Ауэзовский
Ясли-сад № 57,"микрорайон Аксай-4, 51А","76.839495,43.227314",садик,Ауэзовский
Алим,"2-й микрорайон, 7А","76.855864,43.233670",садик,Ауэзовский
Ясли-сад № 129,"микрорайон Аксай-2, 74","76.838960,43.236014",садик,Ауэзовский
Ясли-сад № 174,"Акмолинская область, Аршалынский район, сельский округ Жибек жолы, село Жибек жолы, 6-й микрорайон","76.865601,43.231747",садик,Ауэзовский
Зайка,"ул. Аманжол, 6","76.843808,43.209070",садик,Ауэзовский
Детский сад Дамодара,"микрорайон Сайран, 186","76.867706,43.235245",садик,Ауэзовский
Ясли-сад № 60,"просп. Улугбека, 13А","76.839481,43.223512",садик,Ауэзовский
Детский сад № 29,"1-й микрорайон, 72Д","76.849439,43.229499",садик,Ауэзовский
Умка,"микрорайон Мамыр-4, 57А","76.848916,43.216286",садик,Ауэзовский
Браво,"ул. Мустай Карима, 4","76.855887,43.210256",садик,Ауэзовский
